R0,initI,total_sim,total_blip,blip_prob
1.2499999999999998,80.0,10000,0,0.0
1.2499999999999998,90.0,10000,0,0.0
1.2499999999999998,100.0,10000,0,0.0
1.2499999999999998,200.0,10000,0,0.0
1.2499999999999998,300.0,10000,0,0.0
1.2499999999999998,400.0,10000,0,0.0
1.3,1.0,5590,2944,0.526654740608229
1.3,2.0,7769,3290,0.42347792508688376
1.3,3.0,8752,2927,0.3344378427787934
1.3,4.0,9328,2521,0.27026157804459694
1.3,5.0,9589,2077,0.21660235686724372
1.3,6.0,9794,1632,0.1666326322238105
1.3,7.0,9869,1317,0.13344817104063228
1.3,8.0,9920,1009,0.10171370967741936
1.3,9.0,9957,781,0.07843728030531284
1.3,10.0,9977,644,0.06454846146136113
1.3,15.0,9998,165,0.016503300660132027
1.3,20.0,10000,43,0.0043
1.3,30.0,10000,5,5e-4
1.3,40.0,10000,0,0.0
1.3,50.0,10000,0,0.0
1.3,60.0,10000,0,0.0
1.3,70.0,10000,0,0.0
1.3,80.0,10000,0,0.0
1.3,90.0,10000,0,0.0
1.3,100.0,10000,0,0.0
1.3,200.0,10000,0,0.0
1.3,300.0,10000,0,0.0
1.3,400.0,10000,0,0.0
1.35,1.0,5614,2711,0.482899893124332
1.35,2.0,7814,2888,0.36959303813667777
1.35,3.0,8827,2549,0.28877308258751555
1.35,4.0,9387,2145,0.22850751038670503
1.35,5.0,9630,1713,0.1778816199376947
1.35,6.0,9783,1237,0.12644383113564348
1.35,7.0,9883,944,0.09551755539815845
1.35,8.0,9948,763,0.07669883393646965
1.35,9.0,9971,558,0.05596229064286431
1.35,10.0,9976,415,0.041599839615076184
1.35,15.0,9996,92,0.009203681472589036
1.35,20.0,10000,17,0.0017
1.35,30.0,10000,2,2e-4
1.35,40.0,10000,0,0.0
1.35,50.0,10000,0,0.0
1.35,60.0,10000,0,0.0
1.35,70.0,10000,0,0.0
1.35,80.0,10000,0,0.0
1.35,90.0,10000,0,0.0
1.35,100.0,10000,0,0.0
1.35,200.0,10000,0,0.0
1.35,300.0,10000,0,0.0
1.35,400.0,10000,0,0.0
1.4000000000000001,1.0,5759,2558,0.44417433582219135
1.4000000000000001,2.0,7931,2663,0.33577102509141343
1.4000000000000001,3.0,8865,2235,0.2521150592216582
1.4000000000000001,4.0,9449,1776,0.18795639750238122
1.4000000000000001,5.0,9683,1366,0.14107198182381495
1.4000000000000001,6.0,9822,1005,0.10232131948686622
1.4000000000000001,7.0,9908,741,0.07478805006055712
1.4000000000000001,8.0,9945,534,0.053695324283559574
1.4000000000000001,9.0,9960,383,0.038453815261044175
1.4000000000000001,10.0,9980,269,0.026953907815631263
1.4000000000000001,15.0,9998,54,0.0054010802160432084
1.4000000000000001,20.0,9999,10,0.001000100010001
1.4000000000000001,30.0,10000,0,0.0
1.4000000000000001,40.0,10000,0,0.0
1.4000000000000001,50.0,10000,0,0.0
1.4000000000000001,60.0,10000,0,0.0
1.4000000000000001,70.0,10000,0,0.0
1.4000000000000001,80.0,10000,0,0.0
1.4000000000000001,90.0,10000,0,0.0
1.4000000000000001,100.0,10000,0,0.0
1.4000000000000001,200.0,10000,0,0.0
1.4000000000000001,300.0,10000,0,0.0
1.4000000000000001,400.0,10000,0,0.0
1.4500000000000004,1.0,5819,2362,0.40591166867159306
1.4500000000000004,2.0,7990,2397,0.3
1.4500000000000004,3.0,8938,1918,0.21458939360035803
1.4500000000000004,4.0,9438,1500,0.1589319771137953
1.4500000000000004,5.0,9727,1133,0.11647990130564409
1.4500000000000004,6.0,9849,804,0.08163265306122448
1.4500000000000004,7.0,9927,568,0.057217689130653775
1.4500000000000004,8.0,9952,393,0.0394895498392283
1.4500000000000004,9.0,9974,283,0.028373771806697413
1.4500000000000004,10.0,9990,207,0.02072072072072072
1.4500000000000004,15.0,10000,32,0.0032
1.4500000000000004,20.0,10000,3,3e-4
1.4500000000000004,30.0,10000,0,0.0
1.4500000000000004,40.0,10000,0,0.0
1.4500000000000004,50.0,10000,0,0.0
1.4500000000000004,60.0,10000,0,0.0
1.4500000000000004,70.0,10000,0,0.0
1.4500000000000004,80.0,10000,0,0.0
1.4500000000000004,90.0,10000,0,0.0
1.4500000000000004,100.0,10000,0,0.0
1.4500000000000004,200.0,10000,0,0.0
1.4500000000000004,300.0,10000,0,0.0
1.4500000000000004,400.0,10000,0,0.0
1.5000000000000002,1.0,5986,2188,0.365519545606415
1.5000000000000002,2.0,8116,2191,0.26996057171020205
1.5000000000000002,3.0,9050,1699,0.18773480662983424
1.5000000000000002,4.0,9522,1323,0.1389413988657845
1.5000000000000002,5.0,9740,929,0.09537987679671459
1.5000000000000002,6.0,9865,570,0.05778003041054232
1.5000000000000002,7.0,9952,443,0.044513665594855305
1.5000000000000002,8.0,9966,302,0.030303030303030304
1.5000000000000002,9.0,9975,209,0.02095238095238095
1.5000000000000002,10.0,9989,134,0.01341475623185504
1.5000000000000002,15.0,9999,18,0.0018001800180018
1.5000000000000002,20.0,10000,3,3e-4
1.5000000000000002,30.0,10000,0,0.0
1.5000000000000002,40.0,10000,0,0.0
1.5000000000000002,50.0,10000,0,0.0
1.5000000000000002,60.0,10000,0,0.0
1.5000000000000002,70.0,10000,0,0.0
1.5000000000000002,80.0,10000,0,0.0
1.5000000000000002,90.0,10000,0,0.0
1.5000000000000002,100.0,10000,0,0.0
1.5000000000000002,200.0,10000,0,0.0
1.5000000000000002,300.0,10000,0,0.0
1.5000000000000002,400.0,10000,0,0.0
1.5499999999999998,1.0,6061,2030,0.3349282296650718
1.5499999999999998,2.0,8156,1974,0.24203040706228543
1.5499999999999998,3.0,9087,1497,0.16474083856058105
1.5499999999999998,4.0,9516,1057,0.1110760823875578
1.5499999999999998,5.0,9771,734,0.07512025381230171
1.5499999999999998,6.0,9891,510,0.051562026084319076
1.5499999999999998,7.0,9942,337,0.03389660028163347
1.5499999999999998,8.0,9956,236,0.023704298915227
1.5499999999999998,9.0,9983,150,0.015025543423820495
1.5499999999999998,10.0,9992,110,0.011008807045636509
1.5499999999999998,15.0,10000,5,5e-4
1.5499999999999998,20.0,9999,1,1.0001000100010001e-4
1.5499999999999998,30.0,10000,0,0.0
1.5499999999999998,40.0,10000,0,0.0
1.5499999999999998,50.0,10000,0,0.0
1.5499999999999998,60.0,10000,0,0.0
1.5499999999999998,70.0,10000,0,0.0
1.5499999999999998,80.0,10000,0,0.0
1.5499999999999998,90.0,10000,0,0.0
1.5499999999999998,100.0,10000,0,0.0
1.5499999999999998,200.0,10000,0,0.0
1.5499999999999998,300.0,10000,0,0.0
1.5499999999999998,400.0,10000,0,0.0
1.6,1.0,6067,1919,0.3163013021262568
1.6,2.0,8167,1836,0.22480715072854168
1.6,3.0,9171,1380,0.15047432122996401
1.6,4.0,9572,917,0.09580025073129962
1.6,5.0,9782,609,0.06225720711510938
1.6,6.0,9902,407,0.041102807513633606
1.6,7.0,9934,272,0.02738071270384538
1.6,8.0,9982,153,0.015327589661390502
1.6,9.0,9979,88,0.008818518889668303
1.6,10.0,9993,71,0.007104973481437006
1.6,15.0,10000,7,7e-4
1.6,20.0,10000,0,0.0
1.6,30.0,10000,0,0.0
1.6,40.0,10000,0,0.0
1.6,50.0,10000,0,0.0
1.6,60.0,10000,0,0.0
1.6,70.0,10000,0,0.0
1.6,80.0,10000,0,0.0
1.6,90.0,10000,0,0.0
1.6,100.0,10000,0,0.0
1.6,200.0,10000,0,0.0
1.6,300.0,10000,0,0.0
1.6,400.0,10000,0,0.0
1.65,1.0,6192,1779,0.2873062015503876
1.65,2.0,8312,1650,0.19850818094321462
1.65,3.0,9193,1147,0.12476884586098118
1.65,4.0,9601,831,0.08655348401208207
1.65,5.0,9807,545,0.05557255021923116
1.65,6.0,9916,326,0.03287615974183138
1.65,7.0,9957,203,0.020387666967962237
1.65,8.0,9985,137,0.01372058087130696
1.65,9.0,9984,88,0.008814102564102564
1.65,10.0,9990,42,0.004204204204204204
1.65,15.0,10000,5,5e-4
1.65,20.0,10000,0,0.0
1.65,30.0,10000,0,0.0
1.65,40.0,10000,0,0.0
1.65,50.0,10000,0,0.0
1.65,60.0,10000,0,0.0
1.65,70.0,10000,0,0.0
1.65,80.0,10000,0,0.0
1.65,90.0,10000,0,0.0
1.65,100.0,10000,0,0.0
1.65,200.0,10000,0,0.0
1.65,300.0,10000,0,0.0
1.65,400.0,10000,0,0.0
1.6999999999999997,1.0,6249,1768,0.28292526804288687
1.6999999999999997,2.0,8361,1427,0.1706733644300921
1.6999999999999997,3.0,9266,1067,0.11515216922080725
1.6999999999999997,4.0,9653,717,0.0742774267067233
1.6999999999999997,5.0,9853,470,0.04770120775398356
1.6999999999999997,6.0,9913,267,0.026934328659336225
1.6999999999999997,7.0,9965,161,0.016156547917711993
1.6999999999999997,8.0,9982,119,0.011921458625525946
1.6999999999999997,9.0,9983,63,0.006310728238004608
1.6999999999999997,10.0,9995,35,0.003501750875437719
1.6999999999999997,15.0,10000,5,5e-4
1.6999999999999997,20.0,10000,0,0.0
1.6999999999999997,30.0,10000,0,0.0
1.6999999999999997,40.0,10000,0,0.0
1.6999999999999997,50.0,10000,0,0.0
1.6999999999999997,60.0,10000,0,0.0
1.6999999999999997,70.0,10000,0,0.0
1.6999999999999997,80.0,10000,0,0.0
1.6999999999999997,90.0,10000,0,0.0
1.6999999999999997,100.0,10000,0,0.0
1.6999999999999997,200.0,10000,0,0.0
1.6999999999999997,300.0,10000,0,0.0
1.6999999999999997,400.0,10000,0,0.0
1.7499999999999998,1.0,6312,1619,0.25649556400506973
1.7499999999999998,2.0,8416,1362,0.16183460076045628
1.7499999999999998,3.0,9270,910,0.09816612729234088
1.7499999999999998,4.0,9693,633,0.06530485917672547
1.7499999999999998,5.0,9840,401,0.0407520325203252
1.7499999999999998,6.0,9937,236,0.023749622622521886
1.7499999999999998,7.0,9962,140,0.014053402931138326
1.7499999999999998,8.0,9982,69,0.0069124423963133645
1.7499999999999998,9.0,9993,41,0.004102872010407285
1.7499999999999998,10.0,9998,25,0.002500500100020004
1.7499999999999998,15.0,10000,0,0.0
1.7499999999999998,20.0,10000,0,0.0
1.7499999999999998,30.0,10000,0,0.0
1.7499999999999998,40.0,10000,0,0.0
1.7499999999999998,50.0,10000,0,0.0
1.7499999999999998,60.0,10000,0,0.0
1.7499999999999998,70.0,10000,0,0.0
1.7499999999999998,80.0,10000,0,0.0
1.7499999999999998,90.0,10000,0,0.0
1.7499999999999998,100.0,10000,0,0.0
1.7499999999999998,200.0,10000,0,0.0
1.7499999999999998,300.0,10000,0,0.0
1.7499999999999998,400.0,10000,0,0.0
1.8000000000000003,1.0,6380,1523,0.23871473354231976
1.8000000000000003,2.0,8442,1249,0.14795072257758826
1.8000000000000003,3.0,9322,809,0.08678395194164343
1.8000000000000003,4.0,9705,532,0.05481710458526533
1.8000000000000003,5.0,9868,301,0.03050263477908391
1.8000000000000003,6.0,9934,213,0.021441513992349507
1.8000000000000003,7.0,9972,98,0.009827517047733655
1.8000000000000003,8.0,9989,67,0.00670737811592752
1.8000000000000003,9.0,9993,27,0.002701891323926749
1.8000000000000003,10.0,9992,15,0.001501200960768615
1.8000000000000003,15.0,10000,2,2e-4
1.8000000000000003,20.0,10000,0,0.0
1.8000000000000003,30.0,10000,0,0.0
1.8000000000000003,40.0,10000,0,0.0
1.8000000000000003,50.0,10000,0,0.0
1.8000000000000003,60.0,10000,0,0.0
1.8000000000000003,70.0,10000,0,0.0
1.8000000000000003,80.0,10000,0,0.0
1.8000000000000003,90.0,10000,0,0.0
1.8000000000000003,100.0,10000,0,0.0
1.8000000000000003,200.0,10000,0,0.0
